;index;Category;Image_link;Discount_icon_text;Item_name;Item_discount_time;Discount_shop_size;Item_price_euro;Item_price_cents;Discount_text_decorator;Discount_facilitator
134;134;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defa8f06f8.png;;"
        Šokoladinių saldainių rinkinys RŪTA NORŲ IŠSIPILDYMO!, 100 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;4;49;;AČIŪ
135;135;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defaa30fd0.png;;"
        Saldainių dovanėlė RŪTA APSIKABINKIME!, 185 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;4;89;;AČIŪ
136;136;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656def96317aa.png;;"
        Pieninio šokokolado saldainis FERRERO ROCHER, 125 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;4;89;;AČIŪ
137;137;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656def976c155.png;;"
        Šokoladinių saldainių rinkinys HAMLET, 2 rūšių, 250 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;5;49;;AČIŪ
138;138;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656def956ec69.png;;"
        Pieninio šokolado saldainiai SORINI su lazdynų riešutais, sveriami, 1 kg
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;6;29;;AČIŪ
139;139;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656def95e78e4.png;;"
        Saldumynų rinkinys KIDDY COOL CHRISTMAS, 300 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;6;99;;AČIŪ
140;140;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656def96a9aae.png;;"
        Saldainių rinkinys FERRERO ROCHER, 350 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;12;59;;AČIŪ
141;141;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defb56bf2d.png; -25%;"
        Šokoladinis pyragas, fasuotas, 300 g
    ";"
             Iki 12.11
                ";0;2;95;"
                3,95
                €
            ";
142;142;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656def93330e4.png;;"
        Saldainiai CANDY NUT, sveriami, 1 kg
    ";"
             Iki 12.11
                ";0;5;49;;AČIŪ
143;143;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656def942efbb.png;;"
        Karamelės ROSHEN SWEET DROP, sveriamos, 1 kg
    ";"
             Iki 12.11
                ";0;3;89;;AČIŪ
144;144;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656def9134471.png;;"
        Saldainiai FAZER GEISHA, 3 rūšių, 150 g
    ";"
             Iki 12.11
                ";0;2;69;;AČIŪ
145;145;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656def926d3e9.png; -30%;"
        Saldainiams ir šokoladui LINDT
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;;;;
146;146;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656def91a82d5.png;;"
        Šokoladinis batonėlis TUPLA MAXI, 50 g
    ";"
             Iki 12.11
                ";0;0;69;;AČIŪ
147;147;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656def92a9c09.png;2 vnt. už;"
        Guminukai WELL DONE, 3 rūšių, 2 pak. x 35 g
    ";"
             Iki 12.11
                ";0;1;59;;AČIŪ
148;148;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656def937873f.png;;"
        Guminukai FINI, 3 rūšių, 90 g
    ";"
             Iki 12.11
                ";0;0;99;;AČIŪ
149;149;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656def92e69f7.png;;"
        Ledinukai CHUPA CHUPS, 2 rūšių, 12 g
    ";"
             Iki 12.11
                ";0;0;25;;AČIŪ
150;150;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656def94a8a3f.png;;"
        Žemės riešutų kremas ALVO, 2 rūšių, 500 g
    ";"
             Iki 12.11
                ";0;3;29;;AČIŪ
151;151;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656def91e912c.png;;"
        Vafliai SELGA, 3 rūšių, 90 g
    ";"
             Iki 12.11
                ";0;0;65;;AČIŪ
152;152;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defa6e6f29.png;2 vnt. už;"
        Sausainiai GAIDELIS 7 GRŪDAI, 3 rūšių, 2 pak. x 160 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;1;89;;AČIŪ
153;153;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defa77158b.png;;"
        Imbieriniai sausainiai ANNAS, 3 rūšių, 150 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;1;59;;AČIŪ
154;154;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656defa531ae8.png; -50%;"
        Produkcijai SANTA MARIA
    ";"
             Iki 12.11
                ";0;;;;
155;155;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656d756d85f63.png;2 vnt. už;"
        SU PROGRAMĖLE! Traškus vanilinis sukutis, 2 vnt. x 90 g
    ";"
             Iki 12.11
                ";0;0;85;;Tik Su Programele
156;156;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/6572db11be441.png;;"
        Baltasis cukrus EXTRA LINE, 1 kg
    ";"
             Šį savaitgalį
                ";0;0;69;;AČIŪ
157;157;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/65708b45c5200.png; -25%;"
        RYŽIŲ, GRIKIŲ IR KITOMS KRUOPOMS
    ";"
             Šį savaitgalį
                ";0;;;;
158;158;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def65a956c.png; -14%;"
        Kroketai VIRTU su pievagrybiais ir mocarelos sūriu; mėsa, 2 rūšių, 400 g
    ";"
             Iki 12.11
                ";0;2;45;"
                2,85
                €
            ";
159;159;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def642e6dd.png; -20%;"
        LEGENDINIS sumuštinis su kebabo vištiena, 260 g
    ";"
             Iki 12.11
                ";0;1;95;"
                2,45
                €
            ";
160;160;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def8ee7b42.png; -28%;"
        Baltyminis batonėlis BOUNTY; SNICKERS, 2 rūšių, 60–65 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;2;15;"
                2,99
                €
            ";
161;161;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def8e6e9c9.png;;"
        Dribsniai NESTLÉ, 3 rūšių, 600–645 g
    ";"
             Iki 12.11
                ";0;4;19;;AČIŪ
162;162;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def906c4bd.png; -40%;"
        Produkcijai ACTIVUS
    ";"
             Iki 12.11
                ";0;;;;
163;163;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def7c6fe01.png; -30%;"
        Avižiniai dribsniai SKANĖJA, 400 g
    ";"
             Iki 12.11
                ";0;0;55;"
                0,79
                €
            ";
164;164;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def7da8884.png; -40%;"
        Apvalieji ryžiai RISO SCOTTI ROUND GRAIN, 1 kg
    ";"
             Iki 12.11
                ";0;2;39;"
                3,99
                €
            ";
165;165;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def7d2e995.png; -28%;"
        Raudonieji; žalieji lęšiai GRALLA, 2 rūšių, 400 g
    ";"
             Iki 12.11
                ";0;0;99;"
                1,39
                €
            ";
166;166;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def7ca9a88.png; -41%;"
        Kvietiniai KAUNO GRŪDŲ miltai EKSTRA, 405 D, 1,75 kg
    ";"
             Iki 12.11
                ";0;1;35;"
                2,29
                €
            ";
167;167;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def7befcb8.png;;"
        Miltų mišiniai CITY TASTE, 3 rūšių, 400 g
    ";"
             Iki 12.11
                ";0;1;15;;AČIŪ
168;168;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def7bb587b.png; -33%;"
        GINTARINIAI makaronai, 3 rūšių, 400 g
    ";"
             Iki 12.11
                ";0;0;59;"
                0,89
                €
            ";
169;169;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def7de6e53.png; -30%;"
        Makaronai BARILLA, 3 rūšių, 500 g
    ";"
             Iki 12.11
                ";0;1;49;"
                2,15
                €
            ";
170;170;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def7e302c4.png; -40%;"
        Greitai paruošiamiems makaronams SUN YAN
    ";"
             Iki 12.11
                ";0;;;;
171;171;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def743073e.png;2 vnt. už;"
        Greitai paruošiama sriuba KNORR, 7 rūšių, 2 pak. x 15–22 g
    ";"
             Iki 12.11
                ";0;0;99;;AČIŪ
172;172;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def75a989c.png;;"
        Valgomoji akmens druska SALT HILL, 1 kg
    ";"
             Iki 12.11
                ";0;0;59;;AČIŪ
173;173;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def766d321.png;;"
        Nerafinuotas cukranendrių cukrus DELIKA, 1 kg
    ";"
             Iki 12.11
                ";0;1;79;;AČIŪ
174;174;Bakalėja;https://offers.maxima.lt/media/MarketingOffer/656def736df38.png; -40%;"
        Pabarstukams DECO REPUBLIC
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;;;;
